batchName_post,batchStatus_post,batchDescription_put,batchName_put,batchNoOfClasses_put,batchStatus_put,programName_put,password,userEmailId,,,,,,,,,,,,,,,userComments1,userEduPg1,userEduUg1,userFirstName1,userLastName1,userLinkedinUrl1,userLocation1,loginStatus1,password1,roleIds,status,userLoginEmail1,userMiddleName1,userPhoneNumber1,roleId,userRoleStatus,userTimeZone,userVisaStatus1,,programDescription_post,programName_post,programStatus_post,,,Fname,Mname,Lname,PhnNum,TmZone,ULocation,ULinkedinUrl,EduUg,EduPg,UserCmts,uVisaStatus,uLoginEmail,,RID,URStatus,Rolid,,loGinStatus,PassWord,rolID,UStatus,UEmail,,,ID,USTATUS
NULL,Active,This is new SDET,234655,#$%^&*Z**,Inactive,New SDET Program,,,,,,,,,,,,,,,,,This is test,MBA,,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897893,R01,Active,EST,H4-EAD,,,,,,,APITestersFOUR, P, TeamTwentyEight,9.58E+04, EST,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4 ,apitestersfour@gmail.com,,,,,,,,,,,,,,
,,This is new SDET,March24-A#$%$^&PI Testers-SDET-SDET002,1.00E+06,Inactive,New SDET Program,,,,,,,,,,,,,,,,,This is test,,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897893,R01,Active,EST,H4-EAD,,,,,,,APITestersFOUR, P, TeamTwentyEight,9.58E+11, EST,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4,apitestersfour@gmail.com,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,#4667,Inactive,New SDET Program,,,,,,,,,,,,,,,,,,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897893,R01,Active,EST,H4-EAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,34657,New SDET Program,,,,,,,,,,,,,,,,,This is test for User02,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R02,Active,API Testers_0425@gmail.com,B,7433897893,R02,Active,PST,H4-EAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,Inactivehkjhljklk,New SDET Program,,,,,,,,,,,,,,,,,This is test for user03,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R03,Active,API Testers_74806@gmail.com,B,7897000893,R03,Active,CST,H4-EAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,"!#%$&>?:""",New SDET Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,,New SDET Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,null,Inactive,New SDET Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,,Inactive,New SDET Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,active,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,ACTIVE,New SDET Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,INACTIVE,New SDET Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,Inactive,123346868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,Inactive,^&*^(*&),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This is new SDET,March24-API Testers-SDET-SDET002,9,Inactive,N454$^%& Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March24-API Testers-SDET-SDET1321-566,Active,This is SDET,March24-API Testers-SDET-SDET0987,456,Active,New SDET11 Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
